duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_ip_bytes,resp_ip_bytes,total_bytes,total_pkts,byte_rate,packet_rate,byte_ratio,packet_ratio,missed_bytes,proto,conn_state
30.3914,141433549,0,4014,2674,141642285,139380,141781665,6688,4665190.316997572,220.0622544535625,1016.2310589754628,1.50112191473448,0,tcp,RSTR
30.444895,484,337,15,17,1585,1241,2826,32,92.8234437990343,1.0510793353039976,1.2771958098307816,0.8823529411764706,0,tcp,SF
30.20085597038269,16383604,4,13654,1,16765916,32,16765948,13655,555148.1062802323,452.13950271446464,523934.875,13654.0,0,udp,SF
2.274790048599243,2011197,0,139,93,2019881,4784,2024665,232,890044.776328583,101.98743402401448,422.21592809364546,1.4946236559139785,0,tcp,RSTR
2.4674079418182373,492,333,17,13,1708,1029,2737,30,1109.2612427854551,12.158508324283396,1.6598639455782314,1.3076923076923077,0,tcp,SF
2.341658115386963,922653,0,333,165,939977,8588,948565,498,405082.6180675175,212.6698157718488,109.45237540754542,2.018181818181818,0,tcp,RSTR
2.855778932571411,496,315,18,16,1561,1167,2728,34,955.2560140023318,11.905683458973343,1.337617823479006,1.125,0,tcp,SF
3.1655490398406982,1705293,0,560,309,1734421,14900,1749321,869,552612.1939617881,274.5179395621466,116.40409395973154,1.8122977346278317,0,tcp,RSTR
3.5874991416931152,474,318,19,16,1472,1182,2654,35,739.791117761062,9.756099895115737,1.245346869712352,1.1875,0,tcp,SF
2.290308952331543,1491053,0,305,184,1506921,9540,1516461,489,662120.7145246658,213.50831271134675,157.95817610062892,1.6576086956521738,0,tcp,RSTR
2.647592067718506,490,318,18,15,1555,1118,2673,33,1009.5966189774049,12.464155789844504,1.39087656529517,1.2,0,tcp,SF
2.932159900665283,604509,0,214,172,615645,8424,624069,386,212835.93703685937,131.64357097729211,73.08226495726495,1.244186046511628,0,tcp,RSTR
3.324277877807617,492,313,20,13,1663,1009,2672,33,803.7835879599215,9.92696796507388,1.6481665014866205,1.5384615384615385,0,tcp,SF
3.131251096725464,638989,0,104,69,644405,3476,647881,173,206908.03132253682,55.24948164678215,185.38693901035674,1.5072463768115942,0,tcp,RSTR
3.5438878536224365,492,313,22,18,1997,1283,3280,40,925.5371883868447,11.2870388827664,1.5565081839438815,1.2222222222222223,0,tcp,SF
2.4591431617736816,673421,0,243,111,686065,5672,691737,354,281291.8787131847,143.95257889120776,120.95645275035261,2.189189189189189,0,tcp,RSTR
3.052386999130249,475,332,18,17,1540,1236,2776,35,909.45217653954,11.466435943401981,1.2459546925566343,1.0588235294117647,0,tcp,SF
2.533859968185425,706365,0,258,155,719789,8044,727833,413,287242.7873436209,162.99243256751953,89.48147687717554,1.664516129032258,0,tcp,RSTR
2.8906970024108887,475,317,19,17,1473,1233,2706,36,936.1064123092636,12.45374384446914,1.194647201946472,1.1176470588235294,0,tcp,SF
2.8822648525238037,491,332,19,15,1609,1144,2753,34,955.1516397215838,11.796278877782001,1.4064685314685315,1.2666666666666666,0,tcp,SF
2.5245471000671387,468765,0,169,115,477561,5940,483501,284,191519.8967716394,112.49542541410584,80.39747474747475,1.4695652173913043,0,tcp,RSTR
2.3964879512786865,955293,0,340,207,972981,10568,983549,547,410412.66219394543,228.25067812593798,92.06860333080999,1.642512077294686,0,tcp,RSTR
2.898832082748413,494,330,17,15,1386,1118,2504,32,863.796152561528,11.038928467239973,1.2397137745974955,1.1333333333333333,0,tcp,SF
0.02231907844543457,57,50,1,1,85,78,163,2,7303.168918846742,89.60943458707658,1.0897435897435896,1.0,0,udp,SF
0.0006937980651855469,57,50,1,1,85,78,163,2,163000.0,2000.0,1.0897435897435896,1.0,0,udp,SF
0.009387016296386719,54,47,1,1,82,75,157,2,16725.22930001016,213.06024586000203,1.0933333333333333,1.0,0,udp,SF
0.035575151443481445,54,47,1,1,82,75,157,2,4413.192737898173,56.21901576940347,1.0933333333333333,1.0,0,udp,SF
0.012326955795288086,56,49,1,1,84,77,161,2,13060.807767440961,162.2460592228691,1.0909090909090908,1.0,0,udp,SF
0.014611959457397461,62,55,1,1,90,83,173,2,11839.616753960872,136.87418212671528,1.0843373493975903,1.0,0,udp,SF
0.02228713035583496,54,47,1,1,82,75,157,2,7044.4241808320585,89.73788765391157,1.0933333333333333,1.0,0,udp,SF
